Date,Open,High,Low,Close,Adj Close,Volume
2023-06-16,727000.000000,754000.000000,725000.000000,743000.000000,737698.250000,355710
2023-06-19,747000.000000,763000.000000,730000.000000,752000.000000,746634.062500,315174
2023-06-20,755000.000000,755000.000000,735000.000000,739000.000000,733726.812500,204789
2023-06-21,742000.000000,742000.000000,723000.000000,723000.000000,717841.000000,177750
2023-06-22,721000.000000,728000.000000,710000.000000,721000.000000,715855.250000,146160
2023-06-23,723000.000000,723000.000000,706000.000000,709000.000000,703940.875000,170902
2023-06-26,709000.000000,712000.000000,702000.000000,703000.000000,697983.687500,145097
2023-06-27,705000.000000,709000.000000,697000.000000,703000.000000,697983.687500,150949
2023-06-28,710000.000000,710000.000000,657000.000000,662000.000000,657276.250000,523591
2023-06-29,666000.000000,682000.000000,660000.000000,660000.000000,655290.500000,293283
2023-06-30,665000.000000,673000.000000,660000.000000,667000.000000,662240.562500,176510
2023-07-03,678000.000000,695000.000000,677000.000000,691000.000000,686069.312500,227535
2023-07-04,692000.000000,692000.000000,678000.000000,680000.000000,675147.812500,221408
2023-07-05,684000.000000,684000.000000,673000.000000,676000.000000,671176.375000,197455
2023-07-06,673000.000000,675000.000000,662000.000000,664000.000000,659262.000000,221272
2023-07-07,661000.000000,665000.000000,652000.000000,656000.000000,651319.062500,274332
2023-07-10,650000.000000,660000.000000,643000.000000,654000.000000,649333.312500,210646
2023-07-11,656000.000000,659000.000000,648000.000000,654000.000000,649333.312500,193263
2023-07-12,659000.000000,660000.000000,642000.000000,653000.000000,648340.500000,278392
2023-07-13,654000.000000,677000.000000,653000.000000,670000.000000,665219.187500,488183
2023-07-14,675000.000000,682000.000000,666000.000000,680000.000000,675147.812500,271672
2023-07-17,680000.000000,681000.000000,667000.000000,670000.000000,665219.187500,152544
2023-07-18,669000.000000,687000.000000,667000.000000,679000.000000,674154.937500,251222
2023-07-19,682000.000000,687000.000000,672000.000000,687000.000000,682097.875000,281004
2023-07-20,687000.000000,704000.000000,684000.000000,685000.000000,680112.125000,282841
2023-07-21,681000.000000,694000.000000,672000.000000,694000.000000,689047.937500,232253
