Date,Open,High,Low,Close,Adj Close,Volume
2023-05-12,212000.000000,214000.000000,210000.000000,213500.000000,212239.640625,666880
2023-05-15,212000.000000,213500.000000,207500.000000,212000.000000,210748.500000,584184
2023-05-16,212500.000000,213500.000000,207000.000000,207500.000000,206275.078125,528940
2023-05-17,207500.000000,214000.000000,207500.000000,213000.000000,211742.593750,538104
2023-05-18,213500.000000,214000.000000,210000.000000,212500.000000,211245.546875,378470
2023-05-19,214000.000000,217000.000000,212500.000000,216500.000000,215221.937500,870698
2023-05-22,215500.000000,218000.000000,214000.000000,215000.000000,213730.796875,534887
2023-05-23,215500.000000,216000.000000,211500.000000,212000.000000,210748.500000,550247
2023-05-24,208000.000000,209500.000000,202500.000000,203000.000000,201801.625000,1210194
2023-05-25,202500.000000,207500.000000,202500.000000,206000.000000,204783.921875,791642
2023-05-26,204500.000000,207000.000000,202500.000000,202500.000000,201304.578125,505880
2023-05-30,205000.000000,205000.000000,200500.000000,201500.000000,200310.484375,609318
2023-05-31,201500.000000,203000.000000,199100.000000,199500.000000,198322.281250,993582
2023-06-01,199900.000000,204000.000000,199900.000000,204000.000000,202795.734375,547388
2023-06-02,204500.000000,205000.000000,202500.000000,204500.000000,203292.781250,405330
2023-06-05,205500.000000,206500.000000,204000.000000,204500.000000,203292.781250,428762
2023-06-07,206500.000000,208000.000000,204000.000000,205000.000000,203789.828125,553505
2023-06-08,203000.000000,203500.000000,200000.000000,200500.000000,199316.390625,717690
2023-06-09,202000.000000,205000.000000,200500.000000,200500.000000,199316.390625,546093
2023-06-12,202500.000000,203500.000000,199700.000000,200500.000000,199316.390625,417698
2023-06-13,202000.000000,203000.000000,199600.000000,201000.000000,199813.437500,565013
2023-06-14,201000.000000,202000.000000,198300.000000,199200.000000,198024.062500,666340
2023-06-15,200000.000000,202500.000000,199900.000000,200500.000000,199316.390625,557684
2023-06-16,202500.000000,204500.000000,202000.000000,202500.000000,201304.578125,751013
2023-06-19,202500.000000,202500.000000,198500.000000,198600.000000,197427.609375,669785
2023-06-20,199500.000000,201000.000000,197900.000000,198500.000000,197328.187500,437974
2023-06-21,199100.000000,199200.000000,189900.000000,189900.000000,188778.968750,1358963
2023-06-22,189400.000000,193200.000000,189300.000000,191300.000000,190170.703125,580244
2023-06-23,191500.000000,192000.000000,188900.000000,188900.000000,187784.875000,689964
2023-06-26,187700.000000,191200.000000,187600.000000,188900.000000,187784.875000,489487
2023-06-27,188000.000000,188000.000000,184100.000000,185900.000000,184802.578125,877288
2023-06-28,187500.000000,188100.000000,182800.000000,184800.000000,183709.062500,717140
2023-06-29,183800.000000,186200.000000,183400.000000,183400.000000,182727.687500,578195
2023-06-30,183300.000000,184500.000000,180600.000000,182800.000000,182129.875000,683584
2023-07-03,182800.000000,190600.000000,182800.000000,189300.000000,188606.046875,869777
2023-07-04,188200.000000,190200.000000,186700.000000,188700.000000,188008.250000,491576
2023-07-05,188000.000000,190200.000000,186500.000000,186500.000000,185816.312500,686759
2023-07-06,185500.000000,196200.000000,185500.000000,195500.000000,194783.328125,1503767
2023-07-07,195600.000000,197300.000000,193800.000000,195000.000000,194285.156250,832803
2023-07-10,195000.000000,196300.000000,192700.000000,193200.000000,192491.750000,509523
2023-07-11,196700.000000,197600.000000,194600.000000,197400.000000,196676.359375,524208
2023-07-12,197400.000000,202500.000000,195700.000000,202000.000000,201259.500000,865666
2023-07-13,204500.000000,206500.000000,199500.000000,199700.000000,198967.921875,941626
2023-07-14,202000.000000,204500.000000,200500.000000,204500.000000,203750.328125,739825
2023-07-17,206000.000000,207000.000000,202500.000000,206500.000000,205743.000000,705819
2023-07-18,205500.000000,209500.000000,204500.000000,209000.000000,208233.828125,803341
2023-07-19,209500.000000,209500.000000,204500.000000,204500.000000,203750.328125,687227
2023-07-20,202500.000000,208500.000000,202500.000000,204500.000000,203750.328125,578731
2023-07-21,202500.000000,206500.000000,200500.000000,206000.000000,205244.828125,629745
2023-07-24,205500.000000,206500.000000,201500.000000,203000.000000,202255.828125,662414
2023-07-25,202000.000000,203500.000000,199300.000000,201000.000000,200263.156250,661241
2023-07-26,201500.000000,202500.000000,194900.000000,197700.000000,196975.265625,1068784
2023-07-27,197500.000000,212000.000000,197000.000000,211500.000000,210724.671875,1442727
2023-07-28,211500.000000,212500.000000,206000.000000,211000.000000,210226.500000,952122
2023-07-31,214500.000000,228000.000000,212500.000000,227000.000000,226167.843750,2725703
2023-08-01,232500.000000,239500.000000,230500.000000,233000.000000,232145.859375,3102468
2023-08-02,235000.000000,235000.000000,226000.000000,227500.000000,226666.015625,1388773
2023-08-03,226500.000000,227500.000000,219000.000000,223000.000000,222182.515625,1430439
2023-08-04,230500.000000,235500.000000,220000.000000,223500.000000,222680.671875,2561625
2023-08-07,226500.000000,241500.000000,225000.000000,234500.000000,233640.359375,3055268
2023-08-08,241000.000000,241500.000000,223000.000000,223000.000000,222182.515625,1933999
2023-08-09,225000.000000,232500.000000,224000.000000,227500.000000,226666.015625,1277473
2023-08-10,223500.000000,225000.000000,220000.000000,225000.000000,224175.187500,928409
2023-08-11,227000.000000,231500.000000,222000.000000,222000.000000,221186.171875,939248
2023-08-14,222500.000000,224500.000000,220500.000000,221000.000000,220189.843750,572079
2023-08-16,219500.000000,225500.000000,218000.000000,222500.000000,221684.343750,943493
2023-08-17,221000.000000,222000.000000,216000.000000,218000.000000,217200.843750,880587
2023-08-18,213500.000000,217500.000000,211000.000000,212500.000000,211721.000000,886686
2023-08-21,213000.000000,218000.000000,213000.000000,214500.000000,213713.671875,691652
2023-08-22,218000.000000,224500.000000,217000.000000,221000.000000,220189.843750,1005692
2023-08-23,222000.000000,222000.000000,215500.000000,215500.000000,214710.000000,868139
2023-08-24,221000.000000,235000.000000,218500.000000,229000.000000,228160.515625,3013711
2023-08-25,221500.000000,222000.000000,210500.000000,211000.000000,210226.500000,2072800
2023-08-28,213000.000000,213500.000000,210000.000000,213500.000000,212717.343750,695518
2023-08-29,213500.000000,218500.000000,213500.000000,218000.000000,217200.843750,805948
2023-08-30,221000.000000,222000.000000,216500.000000,217500.000000,216702.671875,600149
2023-08-31,217500.000000,219000.000000,213000.000000,214500.000000,213713.671875,808546
2023-09-01,215000.000000,215500.000000,212000.000000,214500.000000,213713.671875,569772
2023-09-04,213500.000000,214000.000000,207500.000000,211500.000000,210724.671875,660388
2023-09-05,211500.000000,213000.000000,209500.000000,212000.000000,211222.843750,390882
2023-09-06,210500.000000,214500.000000,207500.000000,214000.000000,213215.500000,808331
2023-09-07,216000.000000,222000.000000,214500.000000,216500.000000,215706.343750,1234068
2023-09-08,218000.000000,218000.000000,212500.000000,215000.000000,214211.843750,595117
2023-09-11,214000.000000,214500.000000,210000.000000,211500.000000,210724.671875,724040
